#,Priority,Batch,Name,Title,Company,Domain,LinkedIn,Email,Confidence,Motivation,Micro-Message,Has Message
76,P3,B3,Thomas Dohmke,Former CEO GitHub (stepping down Aug 2025); founder EntireHQ,GitHub (Microsoft) / EntireHQ,oneguy.org,—,@ashtom,H,GitHub CEO who championed the solo developer + Copilot era; oneguy.org matches his 'single developer as company' thesis at both GitHub and h,GitHub Copilot enables one developer to ship what took a team. The premium domain oneguy.org names that developer — the solo builder community. Worth a look?,new
77,P3,B3,Wade Foster,Co-Founder & CEO,Zapier,oneguy.org,—,@wadefoster,H,Zapier's product literally lets one person automate what used to need a team; on-thesis buyer for oneguy.org.,Zapier automates what used to take a department. The premium domain oneguy.org is the power-user community for your solo operators. Interested?,new
78,P3,B3,Rajiv Ayyangar,CEO (Ryan Hoover founder),Product Hunt,oneguy.org,—,@rajivayyangar,H,Product Hunt is where solo founders launch daily; oneguy.org is the community's ethos as a URL.,Product Hunt is where solo makers launch. The premium domain oneguy.org is the community domain for builders who ship alone. Worth a look?,new
79,P3,B3,Toran Bruce Richards,Founder & CEO,AutoGPT / Significant Gravitas,oneguy.org,—,@SigGravitas,H,AutoGPT enabled the 'one person + AI agents = full team' movement; oneguy.org is the thesis.,AutoGPT proved one person can orchestrate AI agents. The premium domain oneguy.org names the movement your open-source project started. Interested?,new
80,P3,B3,João Moura,Founder & CEO,CrewAI (multi-agent framework),oneguy.org,—,@joaomdmoura,H,CrewAI orchestrates AI-agent teams for solo builders; direct thesis fit for oneguy.org.,CrewAI lets one person orchestrate an AI team. The premium domain oneguy.org is the community for solo operators building multi-agent systems. Worth a look?,new
81,P3,B3,Anton Osika,Co-Founder & CEO,Lovable (fastest-growing Europe startup),oneguy.org,—,@antonosika,H,Lovable enables non-developers to ship SaaS solo; hit $17.5M ARR in 3 months. Perfect oneguy.org buyer.,"Lovable is the fastest-growing AI app builder — one person, entire apps. The premium domain oneguy.org is the community for the solo creators on your platform. Interested?",new
82,P3,B3,Immad Akhund,Co-Founder & CEO,Mercury (banking for startups),oneguy.org,—,@immad,H,Mercury banks 200K+ solo/small-team startups; oneguy.org matches their customer base.,Mercury banks the one-person startup. The premium domain oneguy.org is the community layer for your solo-founder customers. Worth a look?,new
83,P3,B3,Sahil Lavingia,"Founder (ex-CEO, replaced by AI agent 2025)",Gumroad,oneguy.org,—,@shl,H,Author of 'The Minimalist Entrepreneur'; literally appointed an AI agent as Gumroad CEO. Living embodiment of oneguy.org.,Gumroad proved one person can build a meaningful software business. The premium domain oneguy.org names exactly that creator — the independent maker. Interested?,new
84,P3,B3,Pieter Levels (@levelsio),Solo founder ($3M+/yr),Nomad List / RemoteOK / PhotoAI,oneguy.org,—,@levelsio,H,The OG indie hacker running multiple 7-figure businesses solo; oneguy.org IS his brand.,"@levelsio, you're the poster child for the one-person internet business. The premium domain oneguy.org names the movement you embody. Worth a look?",new
85,P3,B3,Marc Lou (Louvion),Solopreneur ($94K+/month),ShipFast / multiple SaaS,oneguy.org,—,@marc_louvion,H,Solo-founder icon shipping SaaS boilerplates and starter kits; audience IS the oneguy.org buyer persona.,Your indie SaaS portfolio proves one person can build multiple revenue streams. The premium domain oneguy.org names the solo-founder movement you're leading. Interested?,new
86,P3,B3,Danny Postma,Solo AI founder ($300K/month HeadshotPro),HeadshotPro / multiple AI SaaS,oneguy.org,—,@dannypostma,M,Bootstrapped $300K/month AI photo empire solo from Bali; textbook oneguy.org customer.,"Your AI SaaS portfolio is the blueprint for the solo AI entrepreneur. The premium domain oneguy.org names that movement — one person, profitable AI products. Worth a look?",new
87,P3,B3,Tony Dinh,Solo indie founder,TypingMind / DevUtils / (sold BlackMagic),oneguy.org,—,@tdinh_me,H,Multi-product solo indie hacker; TypingMind (ChatGPT UI wrapper) generates 6-figures monthly. Prime oneguy.org buyer.,"Tony, your indie dev portfolio shows what one person can ship. The premium domain oneguy.org names the solo-builder community you inspire. Interested?",new
88,P3,B3,Adam Robinson,"CEO (RB2B, Retention.com, MoltSets)",Bootstrapped SaaS portfolio,oneguy.org,—,@retentionadam,H,"Public solo-founder brand with 156K LinkedIn followers, $25M ARR bootstrapped; loves buying founder-branded assets.",Your bootstrapped SaaS portfolio proves one person can build real revenue. The premium domain oneguy.org is the domain for the solo-founder movement you represent. Worth a look?,new
89,P3,B3,Nathan Barry,Founder & CEO,Kit (fka ConvertKit),oneguy.org,—,@nathanbarry,H,Kit is the 'operating system for creators' — solo creators are the oneguy.org constituency.,"The solo-AI-entrepreneur movement is the fastest-growing category in tech. The premium domain oneguy.org — ""One Guy + AI = an entire organization"" — names that movement. Worth a look?",new
90,P3,B3,Andrew Wilkinson,Co-Founder Tiny; Founder MetaLab,Tiny Capital / MetaLab / Dribbble / Letterboxd,oneguy.org,—,@awilkinson,H,Owns 38+ small internet businesses via Tiny; author of 'Never Enough'. Natural collector of premium indie-founder-thesis domains.,Tiny Capital invests in bootstrapped internet businesses — the one-guy success stories. The premium domain oneguy.org names the founder profile you look for. Worth a look?,new
91,P3,B3,Jason Lopatecki,Co-Founder & CEO,Arize AI (AI observability),NoFail.ai,—,@jason_lopatecki,H,Arize is the leading AI observability / eval platform; NoFail.ai fits their thesis of catching AI failures before production.,"Arize AI ensures ML models don't fail in production — ""No Fail"" is your mission. The premium domain NoFail.ai captures that reliability promise as a brand. Worth a look?",new
92,P3,B3,George Kurtz,"Co-Founder, President & CEO",CrowdStrike,NoBreak.ai,—,@George_Kurtz,H,"Post-July-2024 global outage, CrowdStrike is highly motivated by reliability positioning; NoFail/NoBreak domains are direct brand-repair ass","After July 2024, every CISO thinks about what doesn't break. The premium domain NoBreak.ai — ""no break, no outage"" — is the brand for post-incident trust. Worth a look?",new
93,P3,B3,Anand Eswaran,President & CEO,Veeam Software,NoBreak.ai,—,@anandeswaran,H,"Veeam is the largest data protection / backup vendor; their entire pitch is 'never fail, never break' backup — the domains map 1:1.","Veeam ensures data is never lost — ""No Break"" is your brand. The premium domain NoBreak.ai captures that reliability architecture. Worth a look?",new
94,P3,B3,Bipul Sinha,"Co-Founder, Chairman & CEO",Rubrik (NYSE: RBRK),NoBreak.ai,—,@bipulsinha,H,Rubrik positions as 'The Security and AI Operations Company' — cyber-resilience post-attack recovery. NoFail/NoBreak brand DNA match.,"Rubrik ensures cyber resilience — ""No Break"" under attack is the promise. The premium domain NoBreak.ai captures that outcome as a brand. Interested?",new
95,P3,B3,Jay Chaudhry,"Founder, Chairman & CEO",Zscaler,NoFail.ai,—,@JayZscaler,H,Zscaler = $30B zero-trust cloud security leader; reliability is core value prop. NoFail.ai fits enterprise trust narrative.,Zscaler's zero-trust platform ensures security never fails. The premium domain NoFail.ai captures that guarantee in two words. Worth a look?,new
96,P3,B3,Ashan Willy,CEO,New Relic (Francisco Partners),NoFail.ai,—,@ashanwilly,H,Named AI Breakthrough 'AI CEO of the Year' 2025; New Relic competes directly with Datadog for observability domains — NoFail.ai is a competi,New Relic's observability ensures nothing fails silently. The premium domain NoFail.ai is the brand for your AI-powered monitoring future. Interested?,new
97,P3,B3,Alexis Lê-Quôc,Co-Founder & CTO,Datadog,NoFail.ai,—,(no active handle),M,Co-founder & CTO alongside Pomel; often the technical/domain-strategy buyer within the founder pair. Secondary Datadog contact for NoFail.ai,"Datadog monitors millions of services so they don't fail — ""No Fail"" is literally the promise your platform delivers every second. The premium domain NoFail.ai captures that exact reliability promise as a brand. Worth sending a few details?",existing
98,P3,B3,Josh Haas,Co-Founder & Co-CEO,Bubble.io,oneguy.org,—,(Bubble: @bubble),H,Bubble's co-CEO (paired with Straschnov); Bubble users are literally 'one guy building software companies'. Secondary Bubble contact after S,Bubble lets one person build SaaS without code. The premium domain oneguy.org is the community for the solo founders on your platform. Interested?,new
99,P3,B3,Andrew Chen (a16z partner) / Chris Best follow-up,a16z General Partner (Substack investor) / Chris Best CEO,Andreessen Horowitz / Substack,oneguy.org,—,@andrewchen,M,Chen led a16z's Substack investment and writes for solo creators; adjacent bundle buyer for oneguy.org / Substack secondary outreach.,Substack turned one writer into a media empire. The premium domain oneguy.org names the solo creator movement your platform powers. Worth a look?,new
100,P3,B3,Infancia.ai / KIDDOS AI leadership (Sonia C. — founder KIDDOS AI as closest verified match),Founder & CEO,Infancia.ai / KIDDOS AI (kids-AI category),infancia.ai,—,(no handle),L,FLAGGED: Infancia.ai as a company does not surface publicly; nearest verified equivalent is Sonia C. at KIDDOS AI (kids-safe educational AI),"""Infancia"" is the most resonant Spanish word for childhood. The premium domain infancia.ai is the brand for AI-powered children's education for 500M families. Worth a conversation?",new
101,PA,B4,Luis Pastor,Former President & CEO (still Board / brand ambassador),"Latino Community Credit Union (Durham, NC)",HipotecaHispana.com,—,(no handle),H,"THE mission-fit buyer. 22+ years as CEO of LCCU serving 100K+ Latino members, $720M assets. Successor took over June 2023; Pastor still repr","Latino Community Credit Union serves the exact demographic searching ""hipoteca hispana."" The premium domain HipotecaHispana.com is the digital front door to those borrowers. Interested?",new
102,PA,B4,Jason Madiedo,Co-Founder & CEO,Panorama Mortgage Group (parent of Alterra Home Loans),HipotecaHispana.com,—,(no handle),H,Latino-founded lender explicitly building for underserved Hispanic borrowers; featured in Hispanic Executive. Alterra Home Loans is his flag,Panorama Mortgage Group specializes in diverse lending — and Hispanic homeownership is the growth story of the decade. The premium domain HipotecaHispana.com captures that market in Spanish. Worth a conversation?,new
103,PA,B4,Ron Leonhardt Jr.,Founder & CEO,"CrossCountry Mortgage (#1 retail mortgage lender, $51B+ 2025)",HipotecaHispana.com,—,@crosscountrymtg (company),H,America's #1 retail mortgage lender with heavy digital-acquisition budget; Hispanic homeowner segment is #1 growth vertical for major lender,CrossCountry Mortgage is a top retail lender — and Hispanic homebuyers are where the growth is. The premium domain HipotecaHispana.com is patient acquisition in two Spanish words. Interested?,new
104,PA,B4,Steve Jacobson,Founder & CEO,Fairway Independent Mortgage Corp.,HipotecaHispana.com,—,(no active handle),H,Founded Fairway 1996; named 2024 Legend of Lending. Fairway is top-10 US mortgage lender with strong retail branch network — Spanish-languag,Fairway Independent is a top-10 lender — and Spanish-speaking borrowers are your fastest-growing segment. The premium domain HipotecaHispana.com captures that demographic at the search bar. Worth a look?,new
105,PA,B4,Mark O'Donovan,Ex-CEO Chase Home Lending (now CEO Chase International Consumer Bank),JPMorgan Chase,HipotecaHispana.com,—,(no handle),H,"VERIFIED as the right contact at JPMorgan — was CEO Chase Home Lending, promoted to CEO International Consumer Bank. His successor at Home L",JPMorgan Chase is the largest US bank — and Hispanic homeownership is a strategic priority. The premium domain HipotecaHispana.com is the Spanish mortgage brand for the fastest-growing borrower segment. Interested?,new
106,PA,B4,Terry Schmidt,CEO,Guild Mortgage,HipotecaHispana.com,—,(no active handle),H,"Guild = major independent mortgage banker, publicly traded (NYSE: GHLD). Schmidt CEO since July 2023. Guild has explicit Hispanic-borrower i","Guild Mortgage has a strong community lending focus — ""hipoteca hispana"" is what millions of Spanish-speaking borrowers search. The premium domain HipotecaHispana.com captures that intent directly. Worth a look?",new
107,PA,B4,Mary McDuffie (retired) → current Navy Federal CEO,Retired President & CEO (successor: Dietrich Kuhlmann as of 2024),Navy Federal Credit Union (13M+ members),HipotecaHispana.com,—,(no handle),M,"Navy Federal is the world's largest credit union, 13M+ members with high Latino veteran/military-family segment. NOTE: McDuffie retired 2024",Navy Federal is the largest credit union — and your Hispanic membership is growing fast. The premium domain HipotecaHispana.com is the mortgage brand for those members in their language. Interested?,new
108,PA,B4,Michael G. Rhodes,CEO (VERIFIED still in role as of 2026),Ally Financial / Ally Home,HipotecaHispana.com,—,(no handle),H,"VERIFIED still CEO Ally Financial as of 2026 (per Ally 2026 press releases, CBJ Most Admired CEO 2026 honoree, Ally Q1 2026 earnings). Ally ",Ally is a top digital bank — expanding mortgage is the logical next step. The premium domain HipotecaHispana.com is the Spanish mortgage brand for the fastest-growing homebuyer segment. Worth a look?,new
109,PB,B4,Andrés Vega,"CEO (Properati, since 2017; parent OLX/Navent)",Properati (LATAM real estate — Colombia/Ecuador/Peru/Argentina),HipotecaHispana.com,—,(no handle),M,"GAP FILL: Properati is the leading Spanish-language real estate portal in the Andean region (120+ employees, 4 countries). Vega appointed CE",Properati is LATAM's leading real estate platform — cross-border mortgage is the untapped opportunity. The premium domain HipotecaHispana.com bridges US lending with LATAM homebuyers. Interested?,new
110,PB,B4,Vivanuncios leadership → Navent Group CEO (post-Adevinta sale),CEO Navent Group (owns Vivanuncios post-2023),Vivanuncios / Navent Group (Mexico real estate),HipotecaHispana.com,—,(no handle),L,GAP FILL: Vivanuncios sold by Adevinta to Navent Group (Argentine LATAM real estate/jobs holdco) in 2023. Vivanuncios = Mexico's largest pro,"Vivanuncios dominates Mexican classifieds — ""hipoteca hispana"" converts browsers to borrowers. The premium domain HipotecaHispana.com captures that traffic. Worth a conversation?",new
111,PB,B4,"Brendan Clair (Chief Commercial Officer, Bankrate — home lending vertical lead)",Chief Commercial Officer (mortgage/home lending vertical owner),Bankrate (Red Ventures),HipotecaHispana.com,—,(no handle),M,GAP FILL: Bankrate does not have a titled 'Mortgage GM'; commercial responsibility for home-lending vertical rolls up to Clair as CCO. Bankr,Bankrate monetizes mortgage search intent at massive scale. The premium domain HipotecaHispana.com is the Spanish mortgage comparison brand you don't have yet. Interested?,new
112,PB,B4,"Tom Radle (VP Platform Sales, Velocify @ ICE Mortgage Technology)",VP Platform Sales (Velocify product line lead),Velocify / ICE Mortgage Technology,HipotecaHispana.com,—,(no handle),M,GAP FILL: Velocify has no separate GM after ICE acquisition; sits inside ICE Mortgage Technology. Radle is the platform-sales lead covering ,ICE Mortgage Technology powers the industry's infrastructure — Hispanic borrower acquisition is the growth play. The premium domain HipotecaHispana.com is the brand for that vertical. Worth a look?,new
113,PB,B4,Joe Welu (Total Expert — Surefire CRM successor/competitor),Founder & CEO,Total Expert (replaces Surefire CRM for mortgage marketing automation),HipotecaHispana.com,—,(no handle),H,GAP FILL: Surefire CRM (Top of Mind Networks) was acquired by Black Knight (now ICE Mortgage) — no standalone CEO post-acquisition. Total Ex,Total Expert powers mortgage marketing — and the Hispanic borrower journey is the most underserved segment. The premium domain HipotecaHispana.com could anchor a new vertical. Interested?,new
114,PC,B4,Gary Acosta,Co-Founder & CEO,NAHREP (National Association of Hispanic Real Estate Professionals),HipotecaHispana.com,—,(no handle),H,NAHREP is the largest Hispanic business organization in US (real estate professionals). Acosta is THE voice of Hispanic homeownership advoca,NAHREP is THE voice for Hispanic homeownership — the premium domain HipotecaHispana.com could be the consumer-facing hub for your mission. Worth a conversation?,new
115,PC,B4,Janet Murguía,President & CEO,UnidosUS (formerly NCLR — largest US Latino civil rights nonprofit),HipotecaHispana.com,—,(no handle),H,UnidosUS runs largest US Hispanic housing counseling network (NHNhousing); wholesale acquirer of Spanish-mortgage education resources. Nonpr,UnidosUS advocates for the Latino community — homeownership is economic empowerment. The premium domain HipotecaHispana.com could serve as a mortgage education portal for your constituents. Interested?,new
116,PC,B4,Hispanic Wealth Project leadership (NAHREP-affiliated),Executive Team (Gary Acosta as HWP co-founder),Hispanic Wealth Project (501c3),HipotecaHispana.com,—,(no handle),M,Nonprofit dedicated to Hispanic financial empowerment; established by NAHREP. Overlaps with Acosta (row 117); worth separate outreach for mi,The Hispanic Wealth Project closes the Latino wealth gap — homeownership is the #1 builder. The premium domain HipotecaHispana.com could become the educational hub. Worth a look?,new
117,PD,B4,Sergio Leal Aguirre,President & Co-Founder,"Vinte Viviendas Integrales (largest Mexico homebuilder, BMV listed)",HipotecaHispana.com,—,@SergioLealVinte,M,"Vinte = Mexico's largest publicly traded homebuilder, 33 years, 7,500+ homes/yr. Cross-border angle: US-Mexico Hispanic buyers researching m","Vinte builds thousands of homes across Mexico — ""hipoteca hispana"" is what your buyers search. The premium domain HipotecaHispana.com could be your digital mortgage front door. Interested?",new
118,PD,B4,Octavio Romero Oropeza,Director General,INFONAVIT (Mexico Federal Housing Fund — largest LATAM mortgage originator),HipotecaHispana.com,—,(no handle),L,"INFONAVIT = Mexico's federal housing fund, world's largest single-country mortgage originator (5M+ active loans). Government agency; direct ","INFONAVIT is Mexico's largest mortgage originator — ""hipoteca hispana"" search intent crosses borders. The premium domain HipotecaHispana.com bridges US and Mexican mortgage markets. Worth a conversation?",new
119,PD,B4,Benjamin Labra (secondary LATAM cross-border angle),Co-Founder & CEO,Houm (Mexican/Chilean proptech rental+mortgage),HipotecaHispana.com,—,(no handle),M,Houm is Y Combinator-backed LATAM proptech (Chile/Mexico); Spanish-first mortgage & rental marketplace. Fit for cross-border Hispanic homebu,Houm digitizes LATAM real estate — cross-border mortgage is the next frontier. The premium domain HipotecaHispana.com bridges your platform with US mortgage capital. Interested?,new
