domain,status,portfolio_group,language_market,est_value_low_usd,est_value_high_usd,defensible_value_note,brandability_1_10,sale_potential,buyer_categories_top3,top_buyers_with_dmps,sample_micro_message,notes
latinomedico.com,ACTIVE,Health/Wellness,ES,5000,15000,"$8,000 (anchor)",8,High,Zocdoc (Spanish); Doctoralia; UnitedHealth/Optum,Zocdoc (Spanish) (DMPS 92); Doctoralia (DMPS 88); UnitedHealth/Optum (DMPS 88),Zocdoc is expanding into Spanish — latinomedico.com is the brand for the Latino doctor. The premium domain names the category in the patient's language. ¿Vale la pena conversar?,
cavort.ai,ACTIVE,AI/SaaS,EN,2000,6000,"$7,500 (anchor $7,000-$8,000)",6,Medium,Canva (brandable); Notion; Figma,Canva (brandable) (DMPS 80); Notion (DMPS 78); Figma (DMPS 75),"Canva builds brandable, playful names — cavort.ai is a six-letter AI brand with personality. The premium domain is a fresh canvas for a creative tool that dares to be fun. Worth a look?",
tenlo.ai,ACTIVE,General,EN,2000,6000,"$7,500 (anchor $7,000-$8,000)",6,Medium,Mercado Libre; Rappi; Linio,Mercado Libre (DMPS 88); Rappi (DMPS 85); Linio (DMPS 82),"Mercado Libre is building AI commerce — tenlo.ai is the brand that says ""get it"" in Spanish. The premium domain names the promise in two words. Curious?",
apuesto.casino,ACTIVE,Betting/Gambling,ES,500,2000,"$7,000 (anchor $6,000-$8,000)",4,Low,Largest Spanish casino operator. Physical casino; Mexico's #1 casino operator. Physical + online.; Casino vertical within world's largest sportsboo,Codere (DMPS 92) — Gonzaga Higuero; Caliente (DMPS 90) — Emilio Hank; Bet365 (LATAM) (DMPS 88) — Denise Coates,Codere already runs casinos in Spanish — apuesto.casino is the brand that names the act of betting. The premium domain says exactly what the user is looking for. ¿Curioso?,
aseguranzaautos.com,ACTIVE,Spanish/LatAm,ES,,,"$7,000 (asking anchor $6,000-$8,000)",,,"Spanish-language auto-insurance lead gen (slang 'aseguranza'); US insurers w/ heavy Hispanic marketing (Geico, Progressive); #1 US auto insurers (State Farm)",GEICO (DMPS 92); Progressive (DMPS 90); State Farm (DMPS 88),"GEICO already advertises in Spanish — ""aseguranza autos"" is the term Hispanic drivers search. The premium domain is the exact-match capture of that search. ¿Vale la pena conversar?",
cerebrado.com,ACTIVE,Tech/General,EN,500,3000,"$7,000 (anchor $6,000-$8,000)",5,Medium,Duolingo; Platzi; Crehana,Duolingo (DMPS 88); Platzi (DMPS 85); Crehana (DMPS 82),"Duolingo makes learning feel effortless — ""cerebrado"" is Spanish for brain-powered learning. The premium domain cerebrado.com names smart learning in the language of your LATAM users. Curious?",
divorcereadykit.com,ACTIVE,Legal,EN,2000,6000,"$7,000 (anchor $6,000-$8,000)",7,Medium,LegalZoom; Rocket Lawyer; Hello Divorce,LegalZoom (DMPS 90); Rocket Lawyer (DMPS 88); Hello Divorce (DMPS 86) — Erin Levine (CEO & Founder),"LegalZoom makes legal simple — divorcereadykit.com is the exact-match name for a done-for-you divorce product. The premium domain says what users search, before they read a page. Worth a conversation?",
gastropub.casino,ACTIVE,Betting/Gambling,EN,500,1500,"$7,000 (anchor $6,000-$8,000)",3,Low,"Largest casino-resort operator. F&B is a strateg; Luxury casino brand. ""GastroPub"" matches their p; Largest casino operator by properties. Gordon Ra",MGM Resorts International (DMPS 95) — Bill Hornbuckle; Wynn Resorts (DMPS 94) — Craig Billings; Caesars Entertainment (DMPS 93) — Tom Reeg,"MGM Resorts knows hospitality and gaming — gastropub.casino is the hybrid brand for that crossover. The premium domain claims a fun, social casino niche no one owns yet. Open to a chat?",
mypatientprep.com,ACTIVE,Health/Wellness,EN,2000,6000,"$7,000 (anchor $6,000-$8,000)",6,Medium,Zocdoc; Phreesia; Clearwave,Zocdoc (DMPS 85); Phreesia (DMPS 82); Clearwave (DMPS 80),Zocdoc connects patients to care — mypatientprep.com is the exact-match brand for visit preparation. The premium domain names the patient's own journey. Curious?,
oneguy.org,ACTIVE,General,EN,100,500,"$7,000 (anchor $6,000-$8,000)",2,Low,AI employees platform. OneGuy = their user manif; THE solo founder community. Domain = brand exten; Solo founder track. Alum community domain.,Lindy.ai (DMPS 90); Indie Hackers (DMPS 88) — Courtland Allen (Founder); Y Combinator (DMPS 88),Lindy's AI employees do the work of many — oneguy.org is the brand for the one-person workforce. The premium domain says it in two words that stick. Curious?,
pagacasa.com,ACTIVE,Real Estate/Mortgage,ES,1000,5000,"$7,000 (anchor $6,000-$8,000)",6,Medium,"9 characters. ""Paga Casa"" = perfect SMS/PPC CTA; Ultra-short domain for mobile-first Hispanic mor","Zillow (LatAm expansion) (DMPS 85); JPMorgan Chase (DMPS 85) — Mark O'Donovan (CEO, Home Lending); Wells Fargo (DMPS 83)","Zillow is expanding into Latin America — pagacasa.com is the promise of buying a home. The premium domain says ""pays house"" in the buyer's own words. ¿Te interesa?",
veraroi.com,ACTIVE,Tech/General,ES,,,"$7,000 (anchor $6,000-$8,000)",,,"Data visualization & BI leaders (Tableau, Power BI, Looker); analytics platforms (Google Analytics); observability/ROI dashboards (Datadog, Domo)",Tableau (Salesforce) (DMPS 92); Google Analytics (DMPS 90) — Thomas Kurian (Google Cloud CEO); Datadog (DMPS 88),"Salesforce y Tableau analizan datos — veraroi.com es la marca de ""ver el ROI"" en español. El dominio premium nombra el resultado que tu cliente busca. ¿Te interesa?",
puticlub.online,ACTIVE,Adult,EN,500,2000,"$5,500 (asking anchor $5,000-$6,000)",3,Low,Aylo operates Spanish-language content (Pornhub ES; Live camming platform with huge Spanish-speaking mark; Largest live camming site; massive Spanish audience,Aylo (DMPS 90); Stripchat (DMPS 88); Chaturbate (DMPS 85),Aylo ya produce en español — el bundle Puticlub.ai + Puticlub.online (o Putero.ai + Putero.online) cubre marca y captura. Los dominios premium protegen la búsqueda exacta del mercado hispano. ¿Te interesa conversar?,
humanoreal.com,ACTIVE,General,ES,100,500,"$5,000 (anchor)",3,Low,"Proof-of-Humanity registries (World, Kleros); LATAM identity verification; AI recruitment w/ human-verification (Torre)","World (DMPS 92); Kleros (Proof of Humanity) (DMPS 90) — Federico Ast (CEO, Argentine); Prove Identity (DMPS 82)","World verifies real humans — humanoreal.com is the ""real human"" brand for the AI era. The premium domain says exactly what you verify, in the language of the market. ¿Te interesa?",
lahispanic.com,ACTIVE,Hispanic Market,ES,2000,8000,"$5,000 (appraisal table row $2,000-$8,000)",7,High,LA's #1 Spanish-language station; NBCUniversal's LA Spanish station; LA's largest Spanish-language newspaper,"Univision Los Angeles (KMEX) (DMPS 92) — (GM, KMEX); Telemundo 52 (KVEA) (DMPS 90) — (GM, KVEA); La Opinión (DMPS 88) — Monica Lozano (Former CEO)",Univision LA (KMEX) is the voice of the community — lahispanic.com is the digital brand for that audience. The premium domain names the community in one word. ¿Te interesa?,
losangeleshispanic.com,ACTIVE,Hispanic Market,ES,2000,6000,"$5,000 (asking anchor $4,000-$6,000)",7,Medium,LA's #1 Spanish-language station; NBCUniversal's LA Spanish station; LA's largest Spanish-language newspaper,Univision Los Angeles (KMEX) (DMPS 92); Telemundo 52 (KVEA) (DMPS 90); La Opinión (DMPS 88) — Monica Lozano (Former CEO),Los Angeles holds the biggest Hispanic community in the US — losangeleshispanic.com names it. The premium domain is the digital front door for that audience. ¿Te interesa conversar?,
aitoptravel.com,ACTIVE,AI/SaaS,EN,500,3000,"$4,500 (anchor $4,000-$5,000)",4,Medium,Tripadvisor; Booking.com; Expedia,Tripadvisor (DMPS 85); Booking.com (DMPS 82); Expedia (DMPS 80),Tripadvisor is adding AI trip planning — aitoptravel.com is the exact-match brand for AI-curated travel. The premium domain names the next travel category while it's still forming. Open to a chat?,
aitoptrips.com,ACTIVE,AI/SaaS,EN,500,3000,"$4,500 (anchor $4,000-$5,000)",4,Medium,Tripadvisor; Booking.com; Expedia,Tripadvisor (DMPS 85); Booking.com (DMPS 82); Expedia (DMPS 80),"AI trip planning is Tripadvisor's next chapter — aitoptrips.com names it in the words users search. The premium domain claims ""AI trips"" as a category brand. Worth a conversation?",
gastropub.games,ACTIVE,Betting/Gambling,EN,500,1500,"$4,500 (anchor $4,000-$5,000)",3,Low,"Gaming lounges + esports + dining (MGM, Dave & Buster's, Caesars, Topgolf); pub chains w/ gaming (Wetherspoon); integrated resorts (Resorts World)",MGM Resorts (DMPS 92) — Bill Hornbuckle; Dave & Buster's (DMPS 90) — Chris Morris; Caesars Entertainment (DMPS 88) — Tom Reeg,MGM is moving into casual games — gastropub.games is the social pub-games brand. The premium domain names the casual category with hospitality warmth. Interested?,
nychispanic.com,ACTIVE,Hispanic Market,EN,,,"$4,500 (anchor $4,000-$5,000)",,,THE NYC Hispanic business org. BOTH domains = th; NYC's oldest Spanish-language newspaper. Domain; NYC's 24/7 local news. Hispanic channel. Domain,NYC Hispanic Chamber of Commerce (DMPS 95); El Diario NY (DMPS 92) — — (Editor); NY1 Noticias (DMPS 90) — — (Charter/Spectrum),The NYC Hispanic Chamber unites Hispanic commerce — nychispanic.com is the digital brand for that community. The premium domain names New York's Hispanic business in one phrase. ¿Te interesa?,
putero.online,ACTIVE,Adult,EN,500,2000,"$4,500 (asking anchor $4,000-$5,000)",3,Low,Male-focused Spanish content on Pornhub/Brazzers; Male audience is core for xvideos Spanish; Male-focused live camming audience,Aylo (DMPS 88); WGCZ (DMPS 85); Stripchat (DMPS 82),Aylo ya produce en español — el bundle Puticlub.ai + Puticlub.online (o Putero.ai + Putero.online) cubre marca y captura. Los dominios premium protegen la búsqueda exacta del mercado hispano. ¿Te interesa conversar?,
theaileadgenerator.com,ACTIVE,AI/SaaS,EN,3000,8000,"$4,500 (anchor $4,000-$5,000)",7,HIGH,Apollo.io; Clay.com; Instantly.ai,Apollo.io (DMPS 88); Clay.com (DMPS 85); Instantly.ai (DMPS 82),Apollo.io owns lead generation — theaileadgenerator.com is the AI lead-gen brand for B2B teams. The premium domain names the promise exactly. Open to a chat?,
acoholfree.com,ACTIVE,General,EN,,,"$4,000 (anchor)",,,Athletic Brewing; Seedlip; Ritual Zero Proof,Athletic Brewing (DMPS 85); Seedlip (DMPS 82); Ritual Zero Proof (DMPS 80),"Athletic Brewing defined non-alcoholic beer — acoholfree.com is the exact-match brand for that category's next chapter. The premium domain says ""alcohol-free"" in the drinker's own words. Worth a conversation?",
aiapp.bet,ACTIVE,Betting/Gambling,EN,500,2000,"$4,000 (anchor)",4,Medium,DraftKings; FanDuel; BetMGM,DraftKings (DMPS 85); FanDuel (DMPS 82); BetMGM (DMPS 80),DraftKings is adding AI-driven betting features — aiapp.bet is the brand that names AI-powered wagering. The premium domain claims the next betting category before it forms. Worth a conversation?,
aikillswitch.org,ACTIVE,AI/SaaS,EN,1000,5000,"$4,000 (anchor)",5,Medium,Center for AI Safety; Future of Life Institute; MIRI,Center for AI Safety (DMPS 90) — (Director); Future of Life Institute (DMPS 88) — Max Tegmark (President); MIRI (DMPS 85) — Eliezer Yudkowsky (Co-Founder),The Center for AI Safety argues for kill switches on advanced AI — aikillswitch.org is the domain that names that mission. The premium domain is the public front door for AI safety's core ask. Interested?,
aistopbutton.com,ACTIVE,AI/SaaS,EN,1000,4000,"$4,000 (anchor)",5,Medium,Anthropic; Center for AI Safety; Future of Life Institute,Anthropic (DMPS 85); Center for AI Safety (DMPS 82) — (Director); Future of Life Institute (DMPS 80) — Max Tegmark (President),"Anthropic's safety mission needs a public-facing name — aistopbutton.com is it: stop AI, one button. The premium domain states the ask in three words anyone understands. Worth a conversation?",
aivrfun.com,ACTIVE,General,EN,,,"$4,000 (anchor)",,,Meta (VR); Rec Room; VRChat,Meta (VR) (DMPS 85); Rec Room (DMPS 82); VRChat (DMPS 80),Meta's VR push needs fun-first brands — aivrfun.com is the AI-VR entertainment name for that era. The premium domain claims the playful side of the metaverse before it fills up. Interested?,
comprarcasita.com,ACTIVE,Real Estate/Mortgage,ES,500,3000,"$4,000 (anchor)",5,Medium,Zillow (Spanish); Rocket Mortgage (Spanish); loanDepot,Zillow (Spanish) (DMPS 82); Rocket Mortgage (Spanish) (DMPS 80); loanDepot (DMPS 78),"Zillow crece en el mercado hispano — ""comprar casita"" es el sueño de la casa propia. El dominio premium comprarcasita.com lo nombra con cariño. ¿Te interesa conversar?",
gastropub.bet,ACTIVE,Betting/Gambling,EN,500,2000,"$4,000 (anchor $3,500-$4,500)",3,Low,"Las Vegas's premier sports betting + dining dest; Sports betting leader. Retail sportsbooks expand; Caesars Sportsbook + nationwide properties. ""Gas",Circa Sports (DMPS 92) — Derek Stevens; DraftKings (DMPS 90) — Jason Robins; Caesars Entertainment (DMPS 88) — Tom Reeg,Circa Sports could launch a pub-themed betting brand — gastropub.bet is that name. The premium domain pairs hospitality culture with sports betting in one memorable phrase. Worth a look?,
miniterapia.com,ACTIVE,Health/Wellness,ES,500,2000,"$4,000 (anchor)",5,Medium,BetterHelp; Talkspace; Headspace,BetterHelp (DMPS 85); Talkspace (DMPS 82); Headspace (DMPS 80),"BetterHelp is growing in Spanish — miniterapia.com is the brand for brief, accessible therapy. The premium domain names therapy in two words the user understands. ¿Te interesa?",
pagatucasa.com,ACTIVE,Real Estate/Mortgage,ES,1000,5000,"$4,000 (anchor)",6,Medium,"$50B+ mortgage portfolio. ""Pay your house"" in Sp; Rebuilding trust with Hispanic communities. Doma","JPMorgan Chase (DMPS 85) — Mark O'Donovan (CEO, Home Lending); Wells Fargo (DMPS 83); Zillow (LatAm) (DMPS 82)","Zillow's LATAM expansion needs local brands — pagatucasa.com is ""pay your house"" in the language of the buyer. The premium domain names the action. ¿Vale la pena?",
paguecasa.com,ACTIVE,Real Estate/Mortgage,ES,1000,5000,"$4,000 (anchor)",6,Medium,Zillow (LatAm); Rocket Mortgage (Spanish); Properati,Zillow (LatAm) (DMPS 82); Rocket Mortgage (Spanish) (DMPS 80); Properati (DMPS 78),"The Hispanic homebuyer searches ""pague casa"" — paguecasa.com is the exact match for that search. The premium domain names the transaction in two words. ¿Te interesa conversar?",
pootle.ai,ACTIVE,General,EN,2000,6000,"$4,000 (anchor)",6,Medium,Notion; Canva; Figma,Notion (DMPS 80); Canva (DMPS 78); Figma (DMPS 75),"Notion ships playful product names — pootle.ai is a soft, brandable AI name for a new tool. The premium domain is an open canvas with personality. Curious?",
possibleagi.com,ACTIVE,AI/SaaS,EN,1000,5000,"$4,000 (anchor)",5,Medium,Anthropic; OpenAI; DeepMind,Anthropic (DMPS 85); OpenAI (DMPS 82); DeepMind (DMPS 80),Anthropic is building toward AGI — possibleagi.com is the brand that says it's possible. The premium domain names the mission in two words. Open to a chat?,
gosexai.com,ACTIVE,Adult,EN,,,"$3,500 (anchor)",,,Aylo (Pornhub); Vixen Media; WGCZ (xvideos),Aylo (Pornhub) (DMPS 82); Vixen Media (DMPS 78); WGCZ (xvideos) (DMPS 75),"Aylo produces for the Hispanic market — gosexai.com is the AI-era brand for that audience. The premium domain says ""go sex"" in two words that need no translation. ¿Te interesa conversar?",
laxhispanic.com,ACTIVE,Hispanic Market,ES,1000,4000,"$3,500 (asking anchor $3,000-$4,000)",6,Medium,LA's #1 Spanish-language station; NBCUniversal's LA Spanish station; LAX-area businesses targeting Hispanic customers,Univision Los Angeles (KMEX) (DMPS 92); Telemundo 52 (KVEA) (DMPS 90); La Opinión (DMPS 88),LA's Hispanic audience is one of the largest in media — laxhispanic.com names it. The premium domain is the digital brand for that audience's connection point. ¿Te interesa?,
nychispano.com,ACTIVE,Hispanic Market,ES,,,"$3,500 (anchor $3,000-$4,000)",,,THE NYC Hispanic business org; NYC's oldest Spanish-language newspaper; NYC's 24/7 local news,NYC Hispanic Chamber of Commerce (DMPS 95) — Nick Lugo (CEO); El Diario NY (DMPS 92); NY1 Noticias (DMPS 90),New York's Hispanic community is one of the largest — nychispano.com names it in its own language. The premium domain is the digital brand for that audience. ¿Vale la pena conversar?,
adelgazacomiendograsa.com,ACTIVE,Health/Wellness,ES,100,500,"$3,000 (anchor)",2,Low,Perfect Keto (Spanish); Keto Mojo (LatAm); Diet Doctor (Spanish),Perfect Keto (Spanish) (DMPS 78); Keto Mojo (LatAm) (DMPS 75); Diet Doctor (Spanish) (DMPS 72),"Perfect Keto already leads keto in English — ""adelgaza comiendo grasa"" is the Spanish promise of the same method. The premium domain says it in your customers' exact words. ¿Te interesa conversar?",
aiappbet.com,ACTIVE,Betting/Gambling,EN,500,2000,"$3,000 (anchor)",4,Medium,DraftKings; FanDuel; BetMGM,DraftKings (DMPS 85) — Jason Robins (CEO); FanDuel (DMPS 82) — Amy Howe (CEO); BetMGM (DMPS 80) — Adam Greenblatt (CEO),"The next betting category is AI-native apps — aiappbet.com names it exactly. The premium domain is the brand for AI-powered wagering, ready for the moment the market searches it. Open to a chat?",
aitopshelf.com,ACTIVE,AI/SaaS,EN,500,3000,"$3,000 (anchor)",4,Medium,Futurepedia; Product Hunt; AppSumo,Futurepedia (DMPS 85) — (Founder); Product Hunt (DMPS 82); AppSumo (DMPS 80),"Futurepedia curates the best of AI — aitopshelf.com is the premium-tier brand for that curation. ""Top shelf"" says best-in-class before a page loads, and the domain owns the phrase. Interested?",
aitopshops.com,ACTIVE,AI/SaaS,EN,500,3000,"$3,000 (anchor)",4,Medium,Shopify; Amazon; Etsy,Shopify (DMPS 82); Amazon (DMPS 80); Etsy (DMPS 78),Shopify is layering AI into commerce — aitopshops.com is the brand for AI-powered shopping. The premium domain names the next way people shop before competitors do. Worth a look?,
apuesto.ad,ACTIVE,Betting/Gambling,ES,100,500,"$3,000 (anchor)",3,Low,"Dominant Spanish operator. Ad platform for their; #1 Spanish betting affiliate. ""Apuesto"" + .ad =; World's largest betting affiliate. Spanish ad br",Codere (DMPS 88) — Gonzaga Higuero; Apuestas.com (DMPS 86) — (CEO — needs LLM); Better Collective (DMPS 84) — Jesper Søgaard,"Codere dominates Spanish-language betting — apuesto.ad is the niche brand for Andorra and European Spanish markets. The premium domain says ""I bet"" in the user's own words. ¿Te interesa?",
congoogle.com,ACTIVE,General,EN,,,"$3,000 (value range $1,000-$5,000)",,,Google (LatAm); Google Cloud (Spanish); Google Ads (Spanish),Google (LatAm) (DMPS 80) — (LatAm VP); Google Cloud (Spanish) (DMPS 75) — (LatAm Director); Google Ads (Spanish) (DMPS 72) — (Director),"Google is expanding across Latin America — congoogle.com is the Spanish-language companion brand for its services. The premium domain names the everyday phrase: ""with Google."" ¿Vale la pena conversar?",
gastropub.bid,ACTIVE,Betting/Gambling,EN,100,500,"$3,000 (anchor $2,500-$3,500)",2,Low,"Auction houses + luxury hospitality (Sotheby's, Christie's); ultra-luxury casino VIP programs (Wynn, Sands, Galaxy); crypto-casino luxury (Stake)",Sotheby's (DMPS 92) — Charles F. Stewart; Christie's (DMPS 90) — Guillaume Cerutti; Wynn Resorts (DMPS 88) — Craig Billings,Sotheby's auctions attract unique properties — gastropub.bid is the playful auction domain for the hospitality crowd. The premium domain makes bidding memorable and on-brand. Curious?,
jogpay.com,ACTIVE,Payments/Fintech,EN,,,"$3,000 (anchor)",,,Strava; Fitbit (Google); Sweatcoin,Strava (DMPS 85); Fitbit (Google) (DMPS 82) — (VP); Sweatcoin (DMPS 80),"Strava tracks millions of runs — jogpay.com is the brand for the running economy: pay for joggers, rewards, or races. The premium domain names the category. Curious?",
mexicannabico.com,ACTIVE,Cannabis,ES,1000,4000,"$3,000 (anchor)",5,Medium,Canopy Growth (LatAm); Khiron Life Sciences; Aurora Cannabis (LatAm),Canopy Growth (LatAm) (DMPS 88); Khiron Life Sciences (DMPS 86); Aurora Cannabis (LatAm) (DMPS 84),Canopy Growth wants to enter LATAM cannabis — mexicannabico.com is the brand for the Mexican market. The premium domain names the exact territory and category. ¿Te interesa?,
mexmota.com,ACTIVE,Cannabis,ES,500,2000,"$3,000 (anchor)",4,Medium,Weedmaps; Leafly; Glass House Brands,Weedmaps (DMPS 90); Leafly (DMPS 88); Glass House Brands (DMPS 85),"Weedmaps is growing in Spanish — ""mota"" is the word of the Mexican cannabis community. The premium domain mexmota.com speaks that language. ¿Vale la pena conversar?",
vivorg.com,ACTIVE,Spanish/LatAm,EN,,,"$3,000 (anchor)",,,Noom; FitOn; MyFitnessPal,Noom (DMPS 78); FitOn (DMPS 75); MyFitnessPal (DMPS 72) — Mike Giancursio (SVP),Noom transforms habits for life — vivorg.com is the brand for living with energy. The premium domain names the outcome your program delivers. ¿Vale la pena conversar?,
apuesto.xyz,ACTIVE,Betting/Gambling,ES,100,500,"$2,750 (anchor $2,500-$3,000)",3,Low,World's largest crypto casino. LATAM = core mark; Crypto casino with massive LATAM user base. Span; #1 prediction market. No Spanish-language brand.,Stake.com (DMPS 95) — (CEO — needs LLM); BC.Game (DMPS 88) — (CEO — needs LLM); Polymarket (DMPS 86) — Shayne Coplan,"Stake.com is capturing the Hispanic crypto-betting market — apuesto.xyz speaks that language. The premium domain names the action in one word: ""apuesto."" ¿Te interesa conversar?",
lahispano.org,ACTIVE,Hispanic Market,ES,1000,3000,"$2,750 (asking anchor $2,500-$3,000)",5,Medium,Hispanic community/advocacy organizations (.org); LA Spanish-language media; Hispanic nonprofit digital presence,Univision Los Angeles (KMEX) (DMPS 92); Telemundo 52 (KVEA) (DMPS 90); La Opinión (DMPS 88),"Univision LA already reaches millions — lahispano.org is the community domain for that audience. The premium domain names ""lo hispano"" in one word. ¿Te interesa conversar?",
agizent.com,ACTIVE,General,EN,100,500,"$2,500 (anchor)",3,Low,AI-agent identity OS (Oak); AI-agent control plane / observability (Guild.ai); AI-agent security platforms (Noma Security) — new AI-agent infrastructure cohort,"Oak (DMPS 90) — Shai Morag (CEO & Co-founder), Tal Marom (CPO); Guild.ai (DMPS 85) — (Founder per LinkedIn post); Noma Security (DMPS 82)","Oak's $60M seed backs an AI-native identity OS — the only mismatch is the .id TLD for an identity company. The premium domain agizent.com says ""agent"" + ""governance"" in one clean .com. Worth a look?",
aitopdeals.com,ACTIVE,AI/SaaS,EN,500,3000,"$2,500 (anchor)",4,Medium,Futurepedia; Product Hunt; AppSumo,Futurepedia (DMPS 88) — (Founder); Product Hunt (DMPS 85); AppSumo (DMPS 82),"Futurepedia tracks the best AI tools and deals — aitopdeals.com is the exact-match name for that vertical. The premium domain claims ""AI deals"" as a search and a brand at once. Open to a chat?",
appai.bet,ACTIVE,Betting/Gambling,EN,500,2000,"$2,500 (anchor)",4,Medium,DraftKings; FanDuel; BetMGM,DraftKings (DMPS 82); FanDuel (DMPS 80); BetMGM (DMPS 78),"DraftKings is exploring AI products for betting — appai.bet is the app-first AI betting brand. The premium domain names the category in two words, ready for the search wave. Worth a look?",
aquexa.com,ACTIVE,Tech/General,EN,500,3000,"$2,500 (anchor)",5,Medium,"Direct-competitor AI consultancy (AGIgent, near-identical name); phonetic 'aqua' brand overlaps; AI SaaS identity brands",AGIgent (DMPS 72) — (AGIgent leadership); Aquiva Labs (DMPS 70) — (Founder); Acquia (DMPS 68),"AGIgent's brand lives on a near-identical name — aquexa.com is the clean, six-letter version that avoids the collision. The premium domain is yours to migrate to or protect. Worth a conversation?",
cancelarsuscripciones.com,ACTIVE,Spanish/LatAm,ES,100,500,"$2,500 (anchor)",3,Low,Rocket Money; Mint (Intuit); Trim,Rocket Money (DMPS 90); Mint (Intuit) (DMPS 85); Trim (DMPS 82),"Rocket Money helps people cancel subscriptions — ""cancelar suscripciones"" is the exact Spanish search. The premium domain captures it word for word as a brand. ¿Te interesa?",
nomoreagi.com,ACTIVE,AI/SaaS,EN,500,3000,"$2,500 (anchor)",5,Medium,Center for AI Safety; Future of Life Institute; MIRI,Center for AI Safety (DMPS 85) — (Director); Future of Life Institute (DMPS 82) — Max Tegmark (President); MIRI (DMPS 80) — Eliezer Yudkowsky,The Center for AI Safety is working to prevent AGI harm — nomoreagi.com is the stark brand for that debate. The premium domain states the position in two words. Interested?,
airedbutton.com,ACTIVE,General,EN,100,500,"$2,000 (anchor)",2,Low,Anthropic; Conjecture; ARC Evals,Anthropic (DMPS 88); Conjecture (DMPS 85); ARC Evals (DMPS 82) — Paul Christiano (Founder),Anthropic pushes for control and oversight of AI agents — airedbutton.com is the emergency-stop brand for that work. The premium domain names the red button your safety mission is about. Curious?,
aitopstuff.com,ACTIVE,AI/SaaS,EN,500,2000,"$2,000 (anchor)",3,Low,Amazon; Shopify; Walmart,Amazon (DMPS 80); Shopify (DMPS 78); Walmart (DMPS 75),"Amazon's AI shopping push is making ""AI top stuff"" a real category — aitopstuff.com names it. The premium domain claims the AI-curated picks brand for the discovery era. Curious?",
amomota.com,ACTIVE,General,ES,100,500,"$2,000 (anchor)",3,Low,Weedmaps; Leafly; Cookies (Berner),Weedmaps (DMPS 88); Leafly (DMPS 85); Cookies (Berner) (DMPS 82),"Weedmaps leads cannabis discovery in the US — ""amo mota"" is the phrase of the Hispanic cannabis community. The premium domain amomota.com speaks that language. ¿Te interesa conversar?",
appaibet.com,ACTIVE,Betting/Gambling,EN,500,2000,"$2,000 (anchor)",4,Medium,DraftKings; FanDuel; BetMGM,DraftKings (DMPS 82) — Jason Robins (CEO); FanDuel (DMPS 80) — Amy Howe (CEO); BetMGM (DMPS 78) — Adam Greenblatt (CEO),"The AI betting app category is forming now — appaibet.com is its exact-match name. The premium domain is the brand for AI-powered betting apps, claimable by the first mover. Curious?",
bajaturenta.com,ACTIVE,Real Estate/Mortgage,ES,500,2000,"$2,000 (anchor)",5,Medium,Zillow (Rentals); Apartments.com; Realtor.com (Rentals),Zillow (Rentals) (DMPS 85); Apartments.com (DMPS 82); Realtor.com (Rentals) (DMPS 80),"Zillow is expanding rentals across LATAM — bajaturenta.com is the promise every renter searches. The premium domain says ""lower your rent"" in the user's exact words. ¿Vale la pena conversar?",
comodejardebeber.com,ACTIVE,Health/Wellness,ES,100,500,"$2,000 (anchor)",3,Low,Monument; Tempest; Reframe,Monument (DMPS 85); Tempest (DMPS 82) — Holly Whitaker (Founder); Reframe (DMPS 80),"Monument helps people stop drinking — ""cómo dejar de beber"" is the exact Spanish search. The premium domain captures that question word for word as a brand. ¿Te interesa?",
fieldlogbook.com,ACTIVE,Field Service/Logistics,EN,1000,4000,"$2,000 (anchor)",6,Medium,ServiceTitan; Jobber; Housecall Pro,ServiceTitan (DMPS 88); Jobber (DMPS 85); Housecall Pro (DMPS 82),ServiceTitan's technicians live in the field — fieldlogbook.com is the exact-match brand for their daily log. The premium domain names the tool your workers actually use. Worth a conversation?,
fieldworkorder.com,ACTIVE,Field Service/Logistics,EN,1000,4000,"$2,000 (anchor)",6,Medium,ServiceMax; IFS (Field Service); Oracle (Field Service),ServiceMax (DMPS 88); IFS (Field Service) (DMPS 85); Oracle (Field Service) (DMPS 82),ServiceMax manages field service work — fieldworkorder.com is the exact-match name for the workflow. The premium domain names the category your product already owns. Open to a chat?,
fightrenthike.com,ACTIVE,General,EN,500,2000,"$2,000 (anchor)",4,Low,JustFix; Tenant Union Federation; Legal Services Corp,JustFix (DMPS 85) — Georges Clement (Co-Founder); Tenant Union Federation (DMPS 82) — (Director); Legal Services Corp (DMPS 80) — Ron Flagg (President),JustFix helps tenants fight rent hikes — fightrenthike.com is the exact-match domain for that mission. The premium domain says the outcome in three words tenants search. Interested?,
ganalana.com,ACTIVE,General,ES,100,500,"$2,000 (anchor)",3,Low,Rush Street Interactive (RushBet); Codere; Bet365 (LatAm),Rush Street Interactive (RushBet) (DMPS 88); Codere (DMPS 85); Bet365 (LatAm) (DMPS 82),"RushBet is growing fast in Mexico — ganalana.com is the brand that connects with that audience. The premium domain speaks the player's language: ""gana, lana."" ¿Te interesa conversar?",
